Name,Country,Type,Style,Grape,Fullness,Long Description,Price,Awards,ABV,Volume,ID,Year,Reason
Passimento 2016 Pasqua,Italy,Red,Big ,,MEDIUM,"This is made from grapes left to dry in the sun. Appassimento is an ancient Italian winemaking technique, and it crafts the richest, most concentrated fruit. No wonder, then, that this is known as baby Amarone! It's one of our best-rated Italian reds and a heady red, full of concentrated black fruits and sweet spices.",11.99,IWC 2017 - Silver Award,14.0,75.0,68.0,,no grapes could be parsed
Valpolicella Superiore Ripasso 2016 La Casetta,Italy,Red,Big ,,FULL,La Casetta has enjoyed a long and distinguished reign on Majestic shelves - and for good reason. It's a classic example of Valpolicella Ripasso. Its usually light and fruity Valpolicella juice is passed over dried Amarone grapes skins to create red-berry-and-vanilla-packed indulgence. It's a baby Amarone at a snip.,16.99,IWC 2019 - Silver Award,14.0,75.0,70.0,,no grapes could be parsed
"Agenda, Dão Manager's Choice 2016",Portugal,Red,Smooth ,,MEDIUM,We asked our store managers to select and new wine to be stocked nation wide. After an extensive tasting this was the wine they chose. They loved it and we are sure you will as well. This is a delightfully soft and rounded wine with loads of plum and bramble flavours plus touches of herbs. Judicious use of oak adds a slight spiciness to the finish. This will be perfect with herby roast lamb.,9.99,"IWC 2018 - Silver Award, IWC 2017 - Bronze Award",13.0,75.0,76.0,,no grapes could be parsed
"M de Minuty Rosé 2018, Côtes de Provence",France,Rose,,,DRY,"Château Minuty created the pale-pink hue of rosé that you'll find all over the world. It's one of Provence's last vineyards to pluck grapes by hand, bringing every delicious stone-fruit, citrus and melon note to your palate. Many wineries imitate its style. But there really is no matching M de Minuty.",14.99,,13.0,75.0,78.0,,no grapes could be parsed
Planalto White Reserva 2018 Douro,Portugal,White,Crisp ,,DRY,"A blend of white grape varieties indigenous to the Douro area. At once traditional and modern, the wine is vinified very much in a contemporary style, with de-stalking and cold fermentation helping to preserve freshness of fruit and maximum aromatic impact. Dry and delicate, but possessing an interesting aromatic intensity and complexity, with overtones of blossom. The fruit is predominantly citrus, with soft pear and melon flavours completing the picture. Great with seafood or herbaceous pasta and rice dishes.",9.99,IWC 2017 - Bronze Award,13.0,75.0,80.0,,no grapes could be parsed
Vieux Remparts 2017 Lussac St-Emilion,France,Red,Big ,,MEDIUM,Lussac-Saint-Émilion is one of the few regions that can add the prestigious Saint-Émilion name to its own. It shares Saint-Émilion's superb winemaking arsenal. But it's still an insider-secret for eagle-eyed Claret fans - so you save a packet.,12.99,,13.0,75.0,86.0,,no grapes could be parsed
Sancerre Cóte des Embouffants 2018 Domaine Roger Neveu,France,White,Fruity ,,DRY,"Based in the heart of the Verdigny village of the Sancerre appellation where the chalky soils typical of the region produce Sauvignon Blanc of the highest order. Clos des Bouffants is aged on fine lees for six months to impart additional complexity and flavour. Aromas of ripe rhubarb and gooseberry leap from the pale lemon coloured glass, along with hints of lime, chalk and flint. Mineral texture, high acidity, vibrant green fruits and a long, lingering finish. Best enjoyed over the next year while at its freshest, as a partner to goats cheese torte, tomato salads or with freshly caught seafood.",16.99,,13.0,75.0,87.0,,no grapes could be parsed
"Masi 'Costaser' Amarone Classico 2013 DOCG, Valpolicella",Italy,Red,Big ,,FULL,"How can you up the regal in Amarone? You could dry the grapes on bamboo racks. You could ferment the wine for a generous 80 days. And you could mature it in Slovenian oak. This bottle sees all of this luxury treatment. It's a full-bodied, complex red that's stuffed with red fruit, a hint of tobacco and mouth-stuffing tannins.",37.0,,15.0,75.0,91.0,,no grapes could be parsed
Majestic Loves Sauvignon 2019,Chile,White,Fruity ,,DRY,"If you like your Sauvignon fruitier than the French stuff and crisper than Kiwi, opt for Chile. This is light, refreshing and alive with zesty notes of green apple and citrus.",6.99,IWC 2018 - Commended Award,12.5,75.0,92.0,,no grapes could be parsed
Puligny-Montrachet 2016 Jean-Louis Chavy,France,White,Rich ,,DRY,"Blended from 8 different parcels across the appellation, this wine gives an excellent representation of the 'terroir' of Puligny-Montrachet. The domaine was inherited from father Gerard Chavy 2004 and was split with brother Alain, who makes wine under his father's name. Neither overtly fruity nor over-oaked, Jean-Louis Chavy's wines are extremely well balanced, emphasising the classic minerality of Puligny-Montrachet. A model of finesse and elegance, drink with simply flavoured grilled white fish. Alternatively, drink this pure wine by itself.",40.0,,13.0,75.0,95.0,,no grapes could be parsed
Mâcon-Villages 'Les Roches Blanches' 2018 Louis Jadot,France,White,Crisp ,,DRY,"The majority of the fruit for this wine was sourced from the superior quality vineyards from around the village of Loché, southwest of Mâcon in southern Burgundy. Made in a fresh, clean and fruity style with subtle green apple and pear flavours with a pleasant minerally finish. A nice apéritif, this will also partner white fish dishes well.",12.99,,13.0,75.0,97.0,,no grapes could be parsed
Whispering Angel Rosé 2018,France,Rose,,,DRY,"This beautiful salmon-pink Provence rosé has a very pretty scent of crushed strawberries, peach, rose-water and orange blossom. On the palate, it is wonderfully dry and crisp with delicate summer berry fruits balanced by citrus zest acidity and a deliciously creamy finish. A fabulously sophisticated rosé that is perfect for summer picnics or evening aperitif. Whispering Angel is the big name in Provence Rosé. This is typical of the style, light red-fruit and a delightful peachiness with a smattering of that enigmatic ""minerality"". Too easy to drink Best enjoyed on it's own while listening to Jane Birkin, this also goes brilliantly with Pizza, salty salads and barbecued fish.",22.99,,13.0,75.0,101.0,,no grapes could be parsed
Tignanello 2016 P. Antinori,Italy,Red,Big ,,FULL,"Very intense ruby red colour. Nicely expressed varietal aromas with hints of black berry fruit. The palate is weighty, dense and vibrant with complex structure thanks to support of the acidity. Long and lingering with hints of chocolate, coffee and marmalade in the aftertaste. The beautifully handled tannin from the wine and wood blend making Tignanello a very complex, stylish and sophisticated wine.",100.0,,14.0,75.0,103.0,,no grapes could be parsed
Montepulciano d'Abruzzo 2016 Masciarelli,Italy,Red,Big ,,MEDIUM,"Abruzzo has seriously strict rules. And you can really taste the quality in this. It's a step up from other Montepulciano, boasing notes of ripe cherries, sweet spices and an alluring hint of smoke. It's comfort food in a bottle.",13.99,,13.0,75.0,108.0,,no grapes could be parsed
Château La Commanderie 2013,France,Red,Big ,,MEDIUM,"A rich, smooth body balances intense notes of ripe red fruit with toasted oak that linger on the palate, thanks to a lengthy finish. While it'll age on your rack for a further 7 years, it's tasting impeccable now.""",21.99,,12.5,75.0,110.0,,no grapes could be parsed
